date,count,viewcount,positive,negative
2008-08,5,68896,5,0
2008-09,15,275740,15,0
2008-10,29,442785,27,0
2008-11,19,600501,17,0
2008-12,21,100247,21,0
2009-01,18,100654,17,0
2009-02,21,157350,19,0
2009-03,30,131202,29,0
2009-04,30,222640,26,0
2009-05,33,118022,27,0
2009-06,45,235831,38,0
2009-07,36,153974,31,0
2009-08,52,402301,41,0
2009-09,57,301147,41,0
2009-10,53,301706,40,0
2009-11,36,527412,21,0
2009-12,50,236252,40,0
2010-01,63,521564,53,0
2010-02,59,394573,50,0
2010-03,64,215960,45,1
2010-04,71,480348,51,1
2010-05,79,299425,62,0
2010-06,93,389458,63,0
2010-07,56,288129,48,0
2010-08,59,151904,44,0
2010-09,97,471856,69,2
2010-10,101,553723,72,1
2010-11,82,484986,57,3
2010-12,68,219358,49,0
2011-01,97,374498,73,3
2011-02,124,626227,96,0
2011-03,158,520794,113,3
2011-04,111,406053,70,0
2011-05,159,467434,118,1
2011-06,190,909413,135,4
2011-07,148,599136,105,0
2011-08,157,431043,109,0
2011-09,154,480163,110,1
2011-10,161,684220,100,2
2011-11,179,721109,117,5
2011-12,147,362982,94,1
2012-01,175,510679,117,5
2012-02,187,639564,129,5
2012-03,172,557926,123,3
2012-04,150,615898,109,2
2012-05,160,540902,119,2
2012-06,154,602495,115,0
2012-07,201,834877,139,2
2012-08,154,562581,103,4
2012-09,120,460521,82,4
2012-10,137,560186,100,2
2012-11,160,428133,108,6
2012-12,180,451655,129,4
2013-01,193,589329,120,3
2013-02,147,323872,89,4
2013-03,173,409949,103,7
2013-04,168,464143,111,6
2013-05,159,686307,91,4
2013-06,169,617976,99,6
2013-07,177,563833,108,8
2013-08,181,550651,122,5
2013-09,191,512630,109,10
2013-10,229,512855,129,4
2013-11,207,458550,122,5
2013-12,176,441860,97,11
2014-01,219,796462,148,11
2014-02,219,463011,127,7
2014-03,270,455163,160,8
2014-04,241,462435,124,6
2014-05,245,532133,122,8
2014-06,235,419857,127,20
2014-07,309,434846,230,8
2014-08,298,483501,171,10
2014-09,277,505994,147,6
2014-10,307,368374,158,8
2014-11,225,392072,124,7
2014-12,247,305585,129,14
2015-01,226,393413,123,7
2015-02,221,455115,98,13
2015-03,278,365528,152,7
2015-04,200,288955,123,11
2015-05,188,333360,111,13
2015-06,215,335782,124,9
2015-07,292,356705,149,11
2015-08,210,269569,117,11
2015-09,225,247062,118,13
2015-10,238,284616,119,14
2015-11,224,234177,125,12
2015-12,183,161254,117,9
2016-01,194,275314,99,12
2016-02,238,267004,133,12
2016-03,281,457974,139,11
2016-04,254,596936,130,16
2016-05,203,509571,111,6
2016-06,236,476198,125,9
2016-07,226,256417,124,5
2016-08,266,411880,138,15
2016-09,254,362705,133,19
2016-10,241,434060,115,12
2016-11,215,227016,98,15
2016-12,183,245892,96,7
2017-01,242,346253,107,10
2017-02,248,375336,124,11
2017-03,277,272334,122,15
2017-04,260,367770,115,11
2017-05,301,306398,129,10
2017-06,272,260689,125,7
2017-07,251,177055,106,14
2017-08,285,223575,125,10
2017-09,239,164980,105,12
2017-10,297,132352,127,14
2017-11,287,201057,134,10
2017-12,236,138847,94,9
2018-01,249,85994,110,12
2018-02,222,113838,115,10
2018-03,253,88837,89,14
2018-04,267,78146,91,13
2018-05,276,75408,108,11
2018-06,252,65960,77,3
2018-07,223,56771,83,9
2018-08,277,54191,95,15
2018-09,240,34252,80,6
2018-10,239,18964,80,8
2018-11,229,20027,70,10
2018-12,174,9837,53,9
2019-01,234,10068,66,10
2019-02,245,7551,59,29
